Cage Id	Age (months)	Sex	Strain	Genotype	Date of Recording	RR Interval (s)	Heart Rate (BPM)	PR Interval (s)	P Duration (s)	QRS Interval (s)	QT Interval (s)	QTc (s)	JT Interval (s)	Tpeak Tend Interval (s)	P Amplitude (mV)	Q Amplitude (mV)	R Amplitude (mV)	S Amplitude (mV)	ST Height (mV)	T Amplitude (mV)	First Beat	Last Beat
103753-1	22	F	Ank B	WT	10/11/2023	0.091	661	0.03357	0.01103	0.008642	0.01834	0.01926	0.009702	0.007261	0.09859	-0.01243	0.7722	-0.3436	0.1237	0.2293	203410	203413
103753-2	22	F	Ank B	WT	10/11/2023	0.08445	711.6	0.03789	0.008941	0.00949	0.01481	0.01612	0.005347	0.002918	0.13	-0.001219	0.763	-0.5568	0.06841	0.4098	219192	219195
103754-1	22	M	Ank B	WT	10/11/2023	0.09234	652	0.03474	0.008064	0.008716	0.01867	0.01947	0.009962	0.007392	0.1069	-0.02725	1.008	-0.01907	0.2115	0.4335	200454	200457
103514-1	22	M	Ank B	WT	10/11/2023	0.09234	652	0.03474	0.008064	0.008716	0.01867	0.01947	0.009962	0.007392	0.1069	-0.02725	1.008	-0.01907	0.2115	0.4335	200454	200457
103513-1	22	F	Ank B	WT	10/25/2023	0.08602	698.9	0.0362	0.009626	0.008094	0.02056	0.02224	0.01248	0.009972	0.05834	-0.03864	1.088	-0.07225	0.1054	0.1927	174490	174493
107450-1	22	F	Ank B	WT	11/13/2023	0.9818	76.79	0.1615	0.06391	0.07836	0.2732	0.09591	0.1884	0.08646	0.01226	-0.005948	0.09805	0.03	0.02244	0.005738	15494	15497
107450-2	22	F	Ank B	HET	11/13/2023	0.8709	93.01	0.1482	0.04275	0.0599	0.1311	0.0472	0.06868	0.01229	0.01116	-0.00618	0.05769	-0.01242	-0.003608	0.005834	17460	17463
107450-3	21	F	Ank B	HET	11/13/2023	0.6263	103.3	0.3625	0.4865	0.04636	0.1156	0.04745	0.06865	0.01743	0.001889	-0.009644	0.06473	-0.02929	-0.002928	0.0002258	24290	24293
107450-4	22	F	Ank B	WT	11/20/2023	0.5926	106.1	0.1376	0.01882	0.04842	0.154	0.06453	0.09562	0.01859	0.0005059	-0.02359	0.04557	-0.06814	7.69E-05	0.001198	25670	25673
107447-1	22	M	Ank B	HET	11/13/2023	0.1112	565.9	0.03942	0.01152	0.009719	0.01755	0.01739	0.008491	0.005691	0.02306	0.001996	0.1327	-0.04506	0.007726	0.0293	136780	136783
